Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange,Country,Currency,Market Currency,FX Rate
"BOO","BOOHOO.COM PLC","Equity","0.15","2.90","63,771.00","184,965.49","184,965.49","Consumer Discretionary","BG6L729","JE00BG6L7297","London Stock Exchange","United Kingdom","USD","GBP","0.77"
"PNL","POSTNL N.V.","Equity","0.15","4.65","39,779.00","184,791.76","184,791.76","Industrials","5481558","NL0009739416","Nyse Euronext - Euronext Amsterdam","Netherlands","USD","EUR","0.88"
"HAV","HAVAS SA","Equity","0.15","10.55","17,408.00","183,576.50","183,576.50","Consumer Discretionary","5980958","FR0000121881","Nyse Euronext - Euronext Paris","France","USD","EUR","0.88"
"QQ","QINETIQ GROUP PLC","Equity","0.15","3.38","54,227.00","183,193.10","183,193.10","Industrials","B0WMWD0","GB00B0WMWD03","London Stock Exchange","United Kingdom","USD","GBP","0.77"
"MOR","MORPHOSYS AG","Equity","0.14","69.57","2,617.00","182,073.98","182,073.98","Health Care","5531000","DE0006632003","Xetra","Germany","USD","EUR","0.88"
"TEG","TAG IMMOBILIEN AG","Equity","0.14","15.43","11,794.00","182,000.78","182,000.78","Real Estate","5735631","DE0008303504","Xetra","Germany","USD","EUR","0.88"
"WHA","WERELDHAVE NV","Equity","0.14","47.73","3,810.00","181,858.99","181,858.99","Real Estate","4948623","NL0000289213","Nyse Euronext - Euronext Amsterdam","Netherlands","USD","EUR","0.88"
"AF","AIR FRANCE-KLM","Equity","0.14","14.20","12,781.00","181,488.25","181,488.25","Industrials","4916039","FR0000031122","Nyse Euronext - Euronext Paris","France","USD","EUR","0.88"
"SFSN","SFS GROUP AG","Equity","0.14","113.61","1,596.00","181,320.32","181,320.32","Industrials","BLWF8B6","CH0239229302","Swiss Exchange","Switzerland","USD","CHF","0.96"
"BOY","BODYCOTE PLC","Equity","0.14","10.01","18,100.00","181,166.35","181,166.35","Industrials","B3FLWH9","GB00B3FLWH99","London Stock Exchange","United Kingdom","USD","GBP","0.77"
"ECMPA","EUROCOMMERCIAL PROPERTIES DEPOSITO","Equity","0.14","39.15","4,619.00","180,830.98","180,830.98","Real Estate","4798271","NL0000288876","Nyse Euronext - Euronext Amsterdam","Netherlands","USD","EUR","0.88"
"IIA","IMMOFINANZ AG","Equity","0.14","2.27","79,732.00","180,785.41","180,785.41","Real Estate","5679911","AT0000809058","Wiener Boerse Ag","Austria","USD","EUR","0.88"
"IP","INTERPUMP GROUP S.P.A.","Equity","0.14","26.89","6,695.00","180,056.46","180,056.46","Industrials","5161407","IT0001078911","Borsa Italiana S.P.A.","Italy","USD","EUR","0.88"
"THULE","THULE GROUP","Equity","0.14","18.72","9,617.00","180,055.91","180,055.91","Consumer Discretionary","BSQXJ01","SE0006422390","Nasdaq Omx Nordic","Sweden","USD","SEK","8.45"
"BGEO","BGEO GROUP PLC","Equity","0.14","48.18","3,737.00","180,053.77","180,053.77","Financials","B759CR1","GB00B759CR16","London Stock Exchange","United Kingdom","USD","GBP","0.77"
"BESI","BE SEMICONDUCT NV","Equity","0.14","52.90","3,402.00","179,980.81","179,980.81","Information Technology","4233589","NL0000339760","Nyse Euronext - Euronext Amsterdam","Netherlands","USD","EUR","0.88"
"BZU","BUZZI UNICEM SENZA VINCOLI DI RAPP","Equity","0.14","25.61","6,998.00","179,186.22","179,186.22","Materials","5782206","IT0001347308","Borsa Italiana S.P.A.","Italy","USD","EUR","0.88"
"FGP","FIRSTGROUP PLC","Equity","0.14","1.57","113,464.00","178,653.33","178,653.33","Industrials","0345217","GB0003452173","London Stock Exchange","United Kingdom","USD","GBP","0.77"
"ROCK B","ROCKWOOL INTERNATIONAL B","Equity","0.14","218.86","814.00","178,154.77","178,154.77","Industrials","4713490","DK0010219153","Omx Nordic Exchange Copenhagen A/S","Denmark","USD","DKK","6.52"
"BC8","BECHTLE AG","Equity","0.14","127.29","1,387.00","176,544.82","176,544.82","Information Technology","5932409","DE0005158703","Xetra","Germany","USD","EUR","0.88"
"ESNT","ESSENTRA PLC","Equity","0.14","7.10","24,879.00","176,535.86","176,535.86","Materials","B074435","GB00B0744359","London Stock Exchange","United Kingdom","USD","GBP","0.77"
"TOP","TOPDANMARK A/S","Equity","0.14","32.56","5,410.00","176,155.55","176,155.55","Financials","B94P973","DK0060477503","Omx Nordic Exchange Copenhagen A/S","Denmark","USD","DKK","6.52"
"BPSO","BANCA POPOLARE DI SONDRIO S.C.P.A.","Equity","0.14","4.11","42,894.00","176,121.91","176,121.91","Financials","4115223","IT0000784196","Borsa Italiana S.P.A.","Italy","USD","EUR","0.88"
"JUN3","JUNGHEINRICH PREF AG","Equity","0.14","38.77","4,536.00","175,874.32","175,874.32","Industrials","5545670","DE0006219934","Xetra","Germany","USD","EUR","0.88"
"GCO","GRUPO CATALANA OCCIDENTE S.A.","Equity","0.14","42.59","4,123.00","175,590.89","175,590.89","Financials","B188XC5","ES0116920333","Bolsa De Madrid","Spain","USD","EUR","0.88"
"FORN","FORBO HOLDING AG","Equity","0.14","1,595.10","110.00","175,460.82","175,460.82","Consumer Discretionary","4350035","CH0003541510","Swiss Exchange","Switzerland","USD","CHF","0.96"
"AMBU B","AMBU B","Equity","0.14","63.36","2,766.00","175,249.36","175,249.36","Health Care","BTL0ZQ2","DK0060591204","Omx Nordic Exchange Copenhagen A/S","Denmark","USD","DKK","6.52"
